Object Name,RA,DEC,Velocity,Redshift,Magnitude and Filter
SDSS J004046.86+003640.3,10.195260000000001,0.61121,731560,2.4402209999999998,21.2g
SDSS J004054.71+005438.9,10.227960000000001,0.91085,610265,2.0356229999999997,21.7g
WISEA J004102.81+161010.1,10.261560000000001,16.16934,787487,2.626775,22.0g
WISEA J004105.94+135359.9,10.27474,13.90003,463487,1.546025,21.8g
WISEA J004107.36-092930.0,10.28023,-9.49158,427204,1.425,20.16
SDSS J004108.56+010750.2,10.285680000000001,1.1306200000000002,875482,2.9202939999999997,21.8g
WISEA J004113.95-005658.5,10.30823,-0.9496399999999999,2099708,7.00387,22.0g
WISEA J004114.41-091310.4,10.310030000000001,-9.21932,472173,1.575,21.90
SDSS J004122.16-092639.6,10.342360000000001,-9.44435,472203,1.5751,22.0g
SDSS J004124.29+003055.4,10.351230000000001,0.51541,749986,2.501684,21.7g
WISEA J004136.71-011420.4,10.403089999999999,-1.23936,358624,1.19624,21.5g
WISEA J004136.86+003221.7,10.40368,0.53945,1730356,5.771845,22.7g
WISEA J004138.15+005730.4,10.40889,0.9584600000000001,380476,1.269132,21.2g
WISEA J004142.14+135741.7,10.42563,13.96156,730943,2.4381630000000003,21.0g
SDSS J004148.09+003757.2,10.4504,0.63258,586023,1.954763,20.6g
WISEA J004153.65+001624.2,10.47381,0.27343,388022,1.294303,22.6g
SDSS J004159.00-092656.9,10.49587,-9.449160000000001,607080,2.025,22.08
WISEA J004214.42+000435.3,10.56007,0.07653,310945,1.0372,21.5g
SDSS J004217.60+010205.5,10.57334,1.0349,781778,2.60773,21.8g
WISEA J004224.61-092715.5,10.60283,-9.45451,367246,1.225,20.45
SDSS J004229.78-010603.9,10.6241,-1.1011,629444,2.0996,21.4g
SDSS J004243.57+005315.3,10.68158,0.88792,1023997,3.415687,20.17
SDSS J004243.74-094915.3,10.682260000000001,-9.82093,622069,2.075,20.06
SDSS J004258.09+002809.4,10.74205,0.4693,430596,1.436313,22.0g
WISEA J004301.25-003259.7,10.7552,-0.54988,1288082,4.2965800000000005,21.4g
WISEA J004302.65+005749.5,10.76108,0.9636899999999999,354345,1.181967,22.5g
WISEA J004303.31+011217.4,10.76373,1.20488,1986606,6.6266050000000005,23.5g
SDSS J004309.21-095351.7,10.78838,-9.8977,457184,1.525,19.39
SDSS J004322.41-003253.4,10.84341,-0.54818,635830,2.1209,21.7g
WISEA J004325.74-004012.1,10.857339999999999,-0.66984,1300947,4.339493,21.8g
WISEA J004325.77+001759.9,10.85743,0.30016,311355,1.038569,20.8g
WISEA J004329.62+004215.1,10.87347,0.7046899999999999,553117,1.845,20.8g
WISEA J004331.48+005258.1,10.88136,0.88254,471820,1.5738219999999998,21.9g
WISEA J004333.68-003917.2,10.89032,-0.65491,794360,2.6497,20.9g
SDSS J004335.89+005929.0,10.899560000000001,0.9914,300645,1.002844,21.2g
WISEA J004343.28+005234.0,10.92998,0.87613,2081649,6.943633999999999,21.2g
WISEA J004351.36-004938.3,10.96387,-0.8275399999999999,698160,2.328812,21.2g
SDSS J004357.33-095730.2,10.9889,-9.95839,337267,1.125,20.71
WISEA J004357.75+011250.9,10.99066,1.21415,417128,1.391389,22.1g
WISEA J004406.59+151715.2,11.02759,15.287579999999998,643478,2.14641,20.4r
SDSS J004409.02-010159.5,11.03761,-1.0332,930831,3.1049189999999998,22.1g
WISEA J004414.89+005818.0,11.06206,0.97152,381091,1.271183,22.6g
WISEA J004417.45-000553.6,11.07273,-0.0983,1249573,4.168126,23.4g
WISEA J004420.29+151329.2,11.08423,15.22505,730000,2.435019,21.7g
WISEA J004420.88-094052.9,11.08705,-9.68135,619072,2.065,20.45
SDSS J004425.59+142132.9,11.10668,14.35919,690511,2.303297,21.6g
WISEA J004427.57-085949.8,11.11502,-8.99733,577101,1.925,19.52
SDSS J004430.22-105632.3,11.125960000000001,-10.94231,676032,2.255,21.1g
WISEA J004433.39+010707.0,11.139339999999999,1.11859,1749495,5.835687999999999,23.2g
SDSS J004437.66+160748.8,11.15695,16.13025,859765,2.867868,22.1g
SDSS J004440.56-005330.4,11.169030000000001,-0.8917799999999999,775954,2.588303,21.7g
SDSS J004501.06-004912.2,11.254430000000001,-0.8200799999999999,704282,2.349231,21.6g
WISEA J004503.51+011256.6,11.264660000000001,1.21561,431641,1.439799,21.0g
WISEA J004511.76+153236.9,11.29898,15.5436,2099049,7.001672,20.4g
SDSS J004514.15+011423.8,11.30898,1.23996,838481,2.796872,22.8g
WISEA J004515.36+010155.2,11.31397,1.03213,698363,2.329489,21.6g
SDSS J004543.50+000918.4,11.431280000000001,0.15511,616087,2.0550439999999996,22.0g
SDSS J004550.14+003726.5,11.458960000000001,0.62405,464003,1.547748,21.9g
SDSS J004615.81+004620.5,11.56588,0.7723899999999999,649873,2.167743,22.1g
